,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
917,Pokémon Snap,N64,1999.0,,Nintendo  ,HAL Laboratory  ,7.9,,2.23,0.68,0.66,0.06,3.63
918,Pro Evolution Soccer 2008,PS2,2008.0,,Konami  ,Konami  ,8.2,,0.05,0.0,0.64,2.93,3.63
919,FIFA Soccer 10,PS3,2009.0,,EA Sports  ,EA Canada  ,9.0,,0.6,2.46,0.05,0.52,3.63
921,Star Wars Battlefront,PS2,2004.0,,LucasArts  ,Pandemic Studios  ,8.1,,1.93,1.22,0.03,0.44,3.61
929,Metal Gear Solid 3: Snake Eater,PS2,2004.0,,Konami  ,KCEJ / Kojima Productions  ,9.0,,1.46,0.0,0.83,1.93,4.23
931,Assassin's Creed Syndicate,PS4,2015.0,,Ubisoft  ,Ubisoft Quebec  ,8.6,,0.9,2.06,0.08,0.55,3.6
932,Star Wars Battlefront II,PS2,2005.0,,LucasArts  ,Pandemic Studios  ,8.5,,2.18,1.02,0.03,0.37,3.59
933,Assassin's Creed: Unity,XOne,2014.0,,Ubisoft  ,Ubisoft Montreal  ,,,2.34,0.9,0.0,0.34,3.58
934,Cooking Mama 2: Dinner With Friends,DS,2007.0,,Majesco  ,Office Create  ,6.9,,1.6,1.49,0.1,0.39,3.58
936,WWF SmackDown!,PS,2000.0,,THQ  ,Yuke's  ,,,2.01,1.35,0.06,0.16,3.58
938,Battlefield 4,X360,2013.0,,Electronic Arts  ,EA DICE  ,8.7,,2.16,1.05,0.02,0.32,3.54
939,Grand Theft Auto: Liberty City Stories,PS2,2006.0,,Rockstar Games  ,Rockstar Leeds  ,8.3,,1.56,1.4,0.07,0.5,3.54
940,The Getaway,PS2,2003.0,,Sony Computer Entertainment  ,Team Soho  ,7.7,,1.23,1.77,0.05,0.49,3.54
941,Tomb Raider III: Adventures of Lara Croft,PS,1998.0,,Eidos Interactive  ,Core Design Ltd.  ,8.2,,1.66,1.58,0.12,0.18,3.54
942,Batman: Arkham Asylum,X360,2009.0,,Eidos Interactive  ,Rocksteady Studios  ,9.1,,2.24,0.95,0.02,0.33,3.54
943,Assassin's Creed: Brotherhood,X360,2010.0,,Ubisoft  ,Ubisoft Montreal  ,9.1,,2.87,0.39,0.03,0.25,3.53
944,James Bond 007: Agent Under Fire,PS2,2001.0,,Electronic Arts  ,EA Redwood Shores  ,,,1.9,1.13,0.1,0.41,3.53
945,LEGO Star Wars: The Video Game,PS2,2005.0,,Eidos Interactive  ,Traveller's Tales  ,7.9,,1.98,1.14,0.01,0.41,3.53
946,Resident Evil 5,X360,2009.0,,Capcom  ,Capcom  ,8.6,,2.13,0.93,0.12,0.34,3.53
948,NBA 2K17,PS4,2016.0,,2K Sports  ,Visual Concepts  ,9.0,,2.28,0.59,0.03,0.63,3.52
949,FIFA Soccer 11,X360,2010.0,,EA Sports  ,EA Canada  ,8.7,,0.71,2.39,0.02,0.4,3.52
950,Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996.0,,Nintendo  ,Rare Ltd.  ,8.8,,1.17,0.5,1.75,0.08,3.51
956,Fable II,X360,2008.0,,Microsoft Game Studios  ,Lionhead Studios  ,9.0,9.3,2.51,1.24,0.11,0.41,4.28
958,Kung Fu,NES,1985.0,,Nintendo  ,Irem Software Engineering  ,,,1.64,0.38,1.42,0.06,3.5
962,Resident Evil 3: Nemesis,PS,1999.0,,Capcom  ,Capcom  ,9.4,,1.3,0.77,1.54,0.11,3.72
968,FIFA Soccer 2004,PS2,2003.0,,EA Sports  ,EA Canada  ,8.0,,0.59,2.36,0.04,0.51,3.49
971,Battlefield: Bad Company 2,X360,2010.0,,Electronic Arts  ,EA Digital Illusions CE  ,9.0,9.3,2.11,1.01,0.04,0.33,3.48
973,Borderlands,X360,2009.0,,2K Games  ,Gearbox Software  ,8.3,,2.43,0.72,0.03,0.3,3.48
974,Animal Crossing: Happy Home Designer,3DS,2015.0,,Nintendo  ,Nintendo EAD  ,6.6,,0.71,1.1,1.45,0.15,3.41
975,Mario & Sonic at the Olympic Winter Games,DS,2009.0,,Sega  ,Sega  ,7.6,,1.21,1.63,0.27,0.37,3.47
977,Guitar Hero: On Tour,DS,2008.0,,Activision  ,Vicarious Visions  ,7.1,8.1,2.1,1.01,0.01,0.35,3.46
978,Dragon Ball Z: Budokai,PS2,2002.0,,Atari  ,Dimps Corporation  ,,,2.17,0.28,0.55,0.08,3.09
979,Spyro 2: Ripto's Rage!,PS,1999.0,,Sony Computer Entertainment  ,Insomniac Games  ,8.7,,2.14,1.21,0.01,0.17,3.52
980,Halo: The Master Chief Collection,XOne,2014.0,,Microsoft Studios  ,343 Industries  ,,,2.06,1.04,0.03,0.31,3.44
983,Tekken 4,PS2,2002.0,,Namco  ,Namco  ,7.9,,1.55,1.27,0.33,0.29,3.44
984,FIFA 14,PS4,2013.0,,EA Sports  ,EA Canada  ,,,0.62,2.18,0.12,0.51,3.43
985,LittleBigPlanet 2,PS3,2011.0,,Sony Computer Entertainment  ,Media Molecule  ,9.1,,1.83,1.07,0.06,0.47,3.43
988,Spider-Man 2,PS2,2004.0,,Activision  ,Treyarch  ,7.9,,1.75,1.2,0.02,0.43,3.41
989,F-1 Race,GB,1991.0,,Nintendo  ,Nintendo  ,,,1.73,0.69,0.59,0.4,3.41
994,FIFA Soccer 2003,PS2,2002.0,,EA Sports  ,EA Canada  ,,,0.46,2.28,0.05,0.61,3.4
996,Crash Bash,PS,2000.0,,Sony Computer Entertainment  ,Eurocom Entertainment Software  ,6.8,,1.56,1.47,0.19,0.17,3.39
999,Tekken: Dark Resurrection,PSP,2006.0,,Namco Bandai  ,8ing/Raizing  ,8.7,,0.76,1.1,0.12,0.65,2.62
1000,The Elder Scrolls V: Skyrim Special Edition,PS4,2016.0,,Bethesda Softworks  ,Bethesda Softworks  ,8.3,,1.24,1.5,0.08,0.54,3.36
1001,Watch Dogs 2,PS4,2016.0,,Ubisoft  ,Ubisoft  ,,,0.98,1.74,0.12,0.52,3.36
