,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1440,Kirby's Dream Land 2,GB,1995.0,,Nintendo  ,HAL Laboratory  ,,,0.69,0.14,1.48,0.05,2.36
1441,Pokémon Mystery Dungeon: Red Rescue Team,GBA,2006.0,,Nintendo  ,ChunSoft  ,,,0.71,0.52,0.74,0.08,2.06
1443,Donkey Kong Land 2,GB,1996.0,,Nintendo  ,Rare Ltd.  ,,,1.39,0.48,0.4,0.08,2.35
1445,Pokémon Ranger: Shadows of Almia,DS,2008.0,,Nintendo  ,HAL Laboratory  ,6.7,,0.94,0.54,0.62,0.18,2.28
1446,WarioWare: Smooth Moves,Wii,2007.0,,Nintendo  ,Intelligent Systems  ,8.2,,0.86,1.05,0.73,0.26,2.89
1449,WWE SmackDown vs Raw 2008,PS2,2007.0,,THQ  ,Yuke's Media Creations  ,,,0.92,0.0,0.01,1.41,2.34
1450,Dragon Age: Inquisition,PS4,2014.0,,Electronic Arts  ,BioWare Edmonton  ,,,1.07,0.8,0.08,0.38,2.34
1451,Kinect Sports: Season Two,X360,2011.0,,Microsoft Studios  ,Rare Ltd.  ,6.6,,1.38,0.72,0.02,0.21,2.33
1453,Art Academy,DS,2010.0,,Nintendo  ,Headstrong Games  ,6.8,,0.26,1.66,0.33,0.27,2.52
1454,The Legend of Zelda: The Wind Waker,WiiU,2013.0,,Nintendo  ,Nintendo EAD  ,9.3,,1.04,0.73,0.15,0.17,2.08
1458,Mario Tennis,N64,2000.0,,Nintendo  ,Camelot Software Planning  ,8.8,,0.78,0.4,1.06,0.07,2.32
1459,Grand Theft Auto,PS,1998.0,,Take-Two Interactive  ,DMA Design  ,6.0,,0.79,1.35,0.04,0.14,2.32
1460,James Bond 007: Everything or Nothing,PS2,2004.0,,Electronic Arts  ,EA Redwood Shores  ,,,0.85,1.06,0.09,0.32,2.31
1463,Fire Emblem: Awakening,3DS,2013.0,,Nintendo  ,Intelligent Systems  ,9.0,,0.9,0.5,0.56,0.14,2.1
1464,Mario Paint,SNES,1992.0,,Nintendo  ,Intelligent Systems  ,,,1.43,0.54,0.71,0.07,2.75
1465,The Sims 3,X360,2010.0,,Electronic Arts  ,The Sims Studio  ,8.0,,1.28,0.82,0.0,0.2,2.31
1466,Cool Boarders 3,PS,1998.0,,989 Studios  ,Idol Minds Digital Entertainment  ,,,1.65,0.46,0.1,0.1,2.31
1472,Final Fantasy III,DS,2006.0,,Square Enix  ,Matrix Software  ,7.4,,0.89,0.04,1.07,0.09,2.08
1473,Resident Evil 4,PS2,2005.0,,Capcom  ,Capcom Production Studio 4  ,9.6,9.3,2.08,0.83,0.46,0.25,3.62
1477,Dead Island,PS3,2011.0,,Deep Silver  ,Techland  ,6.7,,1.08,0.74,0.15,0.32,2.29
1481,Pro Evolution Soccer 2010,PS3,2009.0,,Konami  ,Konami  ,7.0,,0.3,1.27,0.46,0.26,2.28
1482,Mario Bros.,NES,1986.0,,Nintendo  ,Nintendo R&D1  ,,,0.51,0.12,1.63,0.02,2.28
1484,FIFA Soccer 09,PS2,2008.0,,Electronic Arts  ,EA Canada  ,,,0.38,0.07,0.01,1.82,2.28
1487,Animal Crossing,GC,2002.0,,Nintendo  ,Nintendo EAD  ,8.3,,1.92,0.16,0.99,0.09,3.15
1489,Kirby Squeak Squad,DS,2006.0,,Nintendo  ,"HAL Laboratory, Flagship  ",7.3,,0.78,0.03,1.05,0.08,1.94
1491,Borderlands 2,PS3,2012.0,,2K Games  ,Gearbox Software  ,,,1.06,0.75,0.1,0.36,2.27
1493,No Man's Sky,PS4,2016.0,,Hello Games  ,Hello Games  ,6.8,,0.89,0.97,0.04,0.37,2.26
1494,Cool Boarders 2,PS,1997.0,,Sony Computer Entertainment  ,UEP Systems  ,,,1.52,0.46,0.2,0.08,2.25
1496,Dynasty Warriors 4,PS2,2003.0,,KOEI  ,Omega Force  ,,,0.63,0.21,1.13,0.13,2.11
1497,Mario Party 10,WiiU,2015.0,,Nintendo  ,"Nd Cube Co., Ltd.  ",6.3,,0.82,0.75,0.29,0.14,2.0
1498,Guitar Hero III: Legends of Rock,PS3,2007.0,,RedOctane  ,Neversoft  ,8.2,8.0,1.4,0.53,0.02,0.3,2.25
1503,Sonic Advance,GBA,2002.0,,Sega  ,Dimps Corporation / Sonic Team  ,,,1.19,0.71,0.22,0.13,2.24
1504,Super Mario All-Stars: Limited Edition,Wii,2010.0,,Nintendo  ,Nintendo EAD  ,7.2,,1.04,0.52,0.92,0.14,2.62
1506,Air Combat,PS,1995.0,,Namco  ,Namco  ,7.0,,0.92,0.33,0.52,0.05,1.83
1507,Teenage Mutant Ninja Turtles II: The Arcade Game,NES,1990.0,,Ultra Games  ,Konami  ,,,1.74,0.25,0.21,0.03,2.23
1509,Battlefield V,PS4,2018.0,,Electronic Arts  ,EA DICE  ,,,0.8,0.93,0.16,0.34,2.22
1513,The Legend of Zelda: Link's Awakening DX,GBC,1998.0,,Nintendo  ,Nintendo EAD  ,9.4,,1.0,0.63,0.45,0.13,2.22
1514,NBA 2K14,PS3,2013.0,,2K Sports  ,Visual Concepts  ,,,1.45,0.34,0.04,0.39,2.22
1520,Need for Speed: Hot Pursuit,X360,2010.0,,Electronic Arts  ,Criterion Games  ,8.8,,1.03,0.96,0.0,0.21,2.2
1532,Wario Land 3,GB,2000.0,,Nintendo  ,Nintendo R&D1  ,,,1.11,0.51,0.34,0.23,2.2
1533,Wario Land 4,GBA,2001.0,,Nintendo  ,Nintendo R&D1  ,,,0.9,0.73,0.54,0.09,2.26
1535,BioShock 2,X360,2010.0,,2K Games  ,2K Marin  ,8.6,,1.45,0.54,0.02,0.2,2.2
1537,Final Fantasy XIII,X360,2010.0,,Square Enix  ,Square Enix  ,8.1,,1.3,0.67,0.01,0.21,2.19
1541,Donkey Kong Country,GBC,2000.0,,Nintendo  ,Rare Ltd.  ,9.1,,1.04,0.72,0.3,0.13,2.19
1542,Kirby's Pinball Land,GB,1993.0,,Nintendo  ,HAL Laboratory  ,,,0.87,0.17,1.1,0.05,2.19
1543,Pro Evolution Soccer 2012,PS3,2011.0,,Konami  ,Konami  ,7.5,,0.34,0.97,0.55,0.32,2.19
1544,Need for Speed: Payback,PS4,2017.0,,Electronic Arts  ,Ghost Games  ,5.8,,0.62,1.18,0.04,0.34,2.18
1546,Dragon Ball: Xenoverse,PS4,2015.0,,Namco Bandai Games  ,Dimps Corporation  ,,,0.33,0.55,0.14,0.17,1.19
1549,Destiny: The Taken King,PS4,2015.0,,Activision  ,Bungie  ,,,0.97,0.8,0.05,0.36,2.18
1551,Dragon Ball FighterZ,PS4,2018.0,,Namco Bandai Games  ,Arc System Works  ,,,0.61,0.51,0.12,0.23,1.46
1552,Mario Party 5,GC,2003.0,,Nintendo  ,Hudson Soft  ,5.9,,0.97,0.33,0.73,0.06,2.08
1553,Star Wars: Rogue Squadron,N64,1998.0,,LucasArts  ,Factor 5  ,9.0,,1.6,0.46,0.08,0.03,2.17
1554,Tennis,NES,1985.0,,Nintendo  ,Nintendo  ,,,0.48,0.11,1.56,0.02,2.17
1555,Ratchet: Deadlocked,PS2,2005.0,,Sony Computer Entertainment  ,Insomniac Games  ,,,0.85,0.03,0.22,0.14,1.24
1557,Need for Speed Rivals,PS4,2013.0,,Electronic Arts  ,Ghost Games  ,,,0.75,1.04,0.03,0.35,2.17
1558,PlayStation VR Worlds,PS4,2016.0,,Sony Interactive Entertainment  ,SIE London Studio  ,,,0.36,1.4,0.09,0.32,2.16
1559,Devil May Cry,PS2,2001.0,,Capcom  ,Capcom  ,9.1,9.3,1.36,0.86,0.64,0.13,2.99
1562,Syphon Filter 2,PS,2000.0,,989 Studios  ,Eidetic  ,,,1.5,0.55,0.02,0.08,2.15
1563,Battlefield: Hardline,PS4,2015.0,,Electronic Arts  ,EA DICE  ,,,0.72,0.97,0.14,0.33,2.15
1566,Mario & Luigi: Superstar Saga,GBA,2003.0,,Nintendo  ,AlphaDream Corporation  ,8.8,,1.48,0.17,0.47,0.06,2.17
1567,Volleyball,NES,1987.0,,Nintendo  ,Nintendo R&D1  ,,,0.14,0.03,1.98,0.0,2.15
1570,Mario & Sonic at the Olympic Games,Wii,2007.0,,Sega  ,Sega  ,7.2,,2.57,3.87,0.66,0.9,8.0
1578,NBA 2K12,PS3,2011.0,,2K Sports  ,Visual Concepts  ,9.0,,1.62,0.27,0.05,0.18,2.13
1581,Resistance: Fall of Man,PS3,2006.0,,Sony Computer Entertainment  ,Insomniac Games  ,8.5,9.1,1.74,1.72,0.14,0.76,4.37
1582,Project Gotham Racing,XB,2001.0,,Microsoft  ,Bizarre Creations  ,8.4,,1.37,0.61,0.05,0.09,2.12
1583,Golf,GB,1990.0,,Nintendo  ,Nintendo  ,,,0.83,0.33,0.92,0.04,2.12
1584,NBA 2K11,X360,2010.0,,2K Sports  ,Visual Concepts  ,8.8,,1.86,0.12,0.01,0.13,2.11
1587,PES 2009: Pro Evolution Soccer,PS3,2008.0,,Konami  ,Konami  ,7.7,,0.11,1.34,0.4,0.26,2.11
1588,Need for Speed: Hot Pursuit 2,PS2,2002.0,,Electronic Arts  ,EA Seattle  ,8.7,,1.68,0.31,0.02,0.09,2.11
1589,Project Gotham Racing (JP weekly sales),XB,2002.0,,Microsoft  ,Bizarre Creations  ,,,1.54,0.44,0.04,0.07,2.1
1593,Killzone: Shadow Fall,PS4,2013.0,,Sony Computer Entertainment  ,Guerrilla Games  ,9.0,,0.89,1.58,0.08,0.47,3.02
1594,Kirby: Nightmare in Dream Land,GBA,2002.0,,Nintendo  ,HAL Laboratory  ,8.1,,1.22,0.1,0.91,0.04,2.27
1595,Onimusha 2: Samurai's Destiny,PS2,2002.0,,Capcom  ,Capcom  ,8.5,,0.62,0.44,1.06,0.13,2.25
1598,Need for Speed: Most Wanted 5-1-0,PSP,2005.0,,Electronic Arts  ,EA Black Box  ,7.4,,1.77,0.13,0.02,0.17,2.09
1600,Finding Nemo,PS2,2003.0,,THQ  ,Traveller's Tales  ,,,1.26,0.6,0.05,0.18,2.09
1602,Grand Theft Auto: Episodes from Liberty City,PS3,2010.0,,Rockstar Games  ,Rockstar North  ,9.0,,0.62,0.99,0.13,0.34,2.09
1608,Portal 2,X360,2011.0,,Valve  ,Valve Software  ,9.6,,1.41,0.49,0.01,0.17,2.08
1610,Mario Party 7,GC,2005.0,,Nintendo  ,Hudson Soft  ,6.0,,0.95,0.11,0.46,0.04,1.57
1612,Metal Gear Solid: Peace Walker,PSP,2010.0,,Konami  ,Kojima Productions  ,8.6,,0.46,0.42,0.96,0.25,2.08
1616,Rise of the Tomb Raider,PS4,2016.0,,Square Enix  ,Crystal Dynamics  ,,,0.61,1.08,0.05,0.32,2.07
1617,UFC 2009 Undisputed,X360,2009.0,,THQ  ,Yuke's Osaka  ,8.4,,1.48,0.39,0.0,0.19,2.07
1619,LittleBigPlanet 3,PS4,2014.0,,Sony Computer Entertainment  ,Sumo Digital  ,,,0.78,0.93,0.01,0.34,2.06
1620,Professor Layton and the Last Specter,DS,2011.0,,Nintendo  ,Level 5  ,8.4,,0.28,1.41,0.68,0.32,2.68
1621,The Incredibles,GBA,2004.0,,THQ  ,Helixe  ,5.4,,1.15,0.77,0.04,0.1,2.06
1622,Call of Duty 2,X360,2005.0,,Activision  ,Infinity Ward  ,8.8,9.1,1.84,0.04,0.01,0.16,2.06
1623,Hitman: Absolution,PS3,2012.0,,Square Enix  ,IO Interactive  ,,,0.59,1.08,0.07,0.32,2.06
1624,Toy Story 3: The Video Game,DS,2010.0,,Disney Interactive Studios  ,Avalanche Software  ,,,0.89,0.95,0.02,0.21,2.06
1625,R4: Ridge Racer Type 4,PS,1999.0,,Namco  ,Namco  ,9.1,,0.68,0.46,0.79,0.13,2.06
1626,Tom Clancy's Splinter Cell: Conviction,X360,2010.0,,Ubisoft  ,Ubisoft Montreal  ,8.6,,1.2,0.62,0.04,0.19,2.06
1627,Need for Speed: Undercover,PS3,2008.0,,Electronic Arts  ,EA Vancouver  ,5.9,,0.63,1.01,0.05,0.38,2.06
1628,Need for Speed: ProStreet,X360,2007.0,,Electronic Arts  ,EA Black Box  ,7.1,,1.04,0.79,0.01,0.21,2.05
1632,Xenoblade Chronicles 2,NS,2017.0,,Nintendo  ,Monolith Soft  ,8.2,,0.55,0.52,0.24,0.1,1.4
1634,Dark Souls,PS3,2011.0,,Namco Bandai  ,From Software  ,9.0,,0.75,0.53,0.54,0.22,2.05
1635,Middle-Earth: Shadow of War,PS4,2017.0,,Warner Bros. Interactive Entertainment  ,Monolith Productions  ,,,0.82,0.84,0.06,0.33,2.04
1637,Need for Speed: ProStreet,PS3,2007.0,,Electronic Arts  ,EA Black Box  ,7.2,,0.73,0.91,0.04,0.36,2.04
1641,Dead or Alive 3,XB,2001.0,,Tecmo  ,Team Ninja  ,8.3,,1.19,0.29,0.24,0.06,1.77
1642,PGR4 - Project Gotham Racing 4,X360,2007.0,,Microsoft Game Studios  ,Bizarre Creations  ,8.6,,0.48,1.28,0.02,0.25,2.04
1643,Dance Central 2,X360,2011.0,,Microsoft  ,Harmonix Music Systems  ,8.6,,1.45,0.41,0.01,0.16,2.04
1644,Dragon Quest XI: Echoes of an Elusive Age,PS4,2018.0,,Square Enix  ,Square Enix  ,9.5,,0.29,0.22,1.43,0.1,2.04
1647,1080°: TenEighty Snowboarding,N64,1998.0,,Nintendo  ,Nintendo EAD  ,9.1,,1.25,0.61,0.13,0.05,2.03
1648,Mario Hoops 3 on 3,DS,2006.0,,Nintendo  ,Square Enix  ,7.1,,0.98,0.04,0.49,0.09,1.61
1649,Yoshi's New Island,3DS,2014.0,,Nintendo  ,Arzest  ,,,0.51,0.74,0.29,0.11,1.66
1653,The Sims 3,PS3,2010.0,,Electronic Arts  ,The Sims Studio  ,8.1,,0.73,0.96,0.02,0.31,2.03
1654,LEGO City Undercover: The Chase Begins,3DS,2013.0,,Nintendo  ,TT Fusion  ,6.2,,0.54,0.99,0.08,0.12,1.74
1655,Onimusha: Warlords,PS2,2001.0,,Capcom  ,Flagship  ,8.7,7.3,0.99,0.48,1.09,0.14,2.7
1660,Need for Speed: The Run,PS3,2011.0,,Electronic Arts  ,EA Black Box  ,6.3,,0.58,1.05,0.03,0.35,2.01
1661,Donkey Kong Country: Tropical Freeze,WiiU,2014.0,,Nintendo  ,Retro Studios  ,8.8,9.1,0.74,0.68,0.16,0.13,1.71
1669,Beyond: Two Souls,PS3,2013.0,,Sony Computer Entertainment  ,Quantic Dream  ,,,0.52,0.86,0.06,0.26,1.7
1670,Bloodborne,PS4,2015.0,,Sony Computer Entertainment  ,From Software  ,8.2,,1.3,1.05,0.28,0.48,3.11
1677,Deca Sports,Wii,2008.0,,Hudson Soft  ,CAProduction  ,5.3,,1.11,0.86,0.29,0.25,2.5
1680,Dragon Ball Z: Budokai Tenkaichi,PS2,2005.0,,Atari  ,Spike  ,,,0.96,0.12,0.54,0.04,1.66
1682,Dragon Quest Monsters: Joker 2,DS,2011.0,,Nintendo  ,TOSE Software  ,8.1,,0.09,0.07,1.24,0.02,1.42
1684,Driveclub,PS4,2014.0,,Sony Computer Entertainment  ,Evolution Studios  ,7.2,,0.37,1.63,0.02,0.36,2.37
1688,inFAMOUS,PS3,2009.0,,Sony Computer Entertainment  ,Sucker Punch Productions  ,8.7,9.1,1.76,0.68,0.12,0.42,2.99
1690,Mario + Rabbids: Kingdom Battle,NS,2017.0,,Ubisoft  ,Ubisoft Milan  ,8.3,,1.1,1.08,0.22,0.2,2.59
1702,Saints Row,X360,2006.0,,THQ  ,Volition Inc.  ,8.0,,1.17,0.77,0.02,0.22,2.18
1703,Silent Hill,PS,1999.0,,Konami  ,KCET  ,8.9,,0.71,0.48,0.3,0.1,1.6
1709,Super Street Fighter II,SNES,1994.0,,Capcom  ,Capcom  ,,,0.52,0.16,1.29,0.03,2.0
1719,WWE SmackDown! Here Comes the Pain,PS2,2003.0,,THQ  ,Yuke's  ,,,1.32,1.06,0.04,0.38,2.8
1720,Your Shape: Fitness Evolved,X360,2010.0,,Ubisoft  ,Ubisoft Montreal  ,7.0,,0.79,0.41,0.0,0.12,1.32
1723,Tenchu: Stealth Assassins,PS,1998.0,,Activision  ,Acquire  ,8.8,,0.95,0.64,0.27,0.13,1.99
1724,Tennis,GB,1989.0,,Nintendo  ,Nintendo R&D1  ,,,0.75,0.3,0.9,0.04,1.99
1725,Harry Potter and the Chamber of Secrets,GBA,2002.0,,Electronic Arts  ,Eurocom Entertainment Software  ,7.2,,1.21,0.64,0.05,0.09,1.99
1726,Just Cause 3,PS4,2015.0,,Square Enix  ,Avalanche Studios  ,7.5,,0.53,1.07,0.09,0.3,1.98
1727,Harry Potter and the Chamber of Secrets,PS,2002.0,,Electronic Arts  ,Argonaut Games  ,,,0.75,1.09,0.02,0.12,1.98
1728,Mario Sports Mix,Wii,2011.0,,Nintendo  ,Square Enix  ,6.0,,0.88,0.45,0.63,0.12,2.08
1729,SimCity,SNES,1991.0,,Nintendo  ,Intelligent Systems  ,,,0.93,0.27,0.75,0.04,1.98
1730,BioShock Infinite,X360,2013.0,,2K Games  ,Irrational Games  ,,,1.22,0.55,0.02,0.18,1.97
1732,Resident Evil 6,X360,2012.0,,Capcom  ,Capcom  ,,,1.12,0.61,0.07,0.16,1.97
1735,Dishonored 2,PS4,2016.0,,Bethesda Softworks  ,Arkane Studios  ,,,0.62,1.02,0.01,0.31,1.97
1736,Hot Shots Golf: Open Tee,PSP,2005.0,,Sony Computer Entertainment  ,Clap Hanz  ,8.4,,0.5,0.5,0.63,0.33,1.96
1738,Rad Racer,NES,1987.0,,Nintendo  ,SquareSoft  ,,,1.13,0.37,0.41,0.05,1.96
1739,Soccer,NES,1987.0,,Nintendo  ,"Iwasaki Electronics Co., Ltd.  ",,,0.18,0.23,1.53,0.02,1.96
1740,Lego Marvel Super Heroes,PS3,2013.0,,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,,0.77,0.85,0.01,0.32,1.96
1741,Tom Clancy's Rainbow Six: Vegas,X360,2006.0,,Ubisoft  ,Ubisoft Montreal  ,8.8,,1.09,0.65,0.02,0.2,1.95
1744,Pokémon Battle Revolution,Wii,2007.0,,Nintendo  ,Genius Sonority Inc.  ,5.2,,0.78,0.37,0.3,0.13,1.59
1746,Call of Duty: Black Ops 3,PS3,2015.0,,Activision  ,Treyarch  ,,,0.65,0.92,0.07,0.3,1.95
1747,Burnout Paradise,PS3,2008.0,,Electronic Arts  ,Criterion Games  ,9.0,,1.01,0.63,0.02,0.28,1.95
1749,Forza Horizon,X360,2012.0,,Microsoft Studios  ,Playground Games  ,,,0.82,0.94,0.04,0.16,1.94
1753,Alleyway,GB,1989.0,,Nintendo  ,Nintendo R&D1 / Intelligent Systems  ,,,0.96,0.38,0.55,0.05,1.94
1756,FIFA Soccer 09,X360,2008.0,,Electronic Arts  ,EA Canada  ,8.7,,0.49,1.26,0.01,0.18,1.94
1758,Jet Moto 2,PS,1997.0,,Sony Computer Entertainment  ,SingleTrac  ,,,1.41,0.42,0.03,0.07,1.94
1763,Virtua Fighter 2,SAT,1996.0,,Sega  ,Sega-AM2  ,,,0.34,0.26,1.3,0.03,1.93
1764,The Legend of Zelda: Oracle of Ages,GBC,2001.0,,Nintendo  ,Flagship  ,9.4,,0.92,0.53,0.41,0.06,1.92
1770,Need for Speed: Shift,X360,2009.0,,Electronic Arts  ,Slightly Mad Studios  ,8.2,,0.73,0.96,0.01,0.22,1.91
1772,Lego Marvel Super Heroes,PS4,2013.0,,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,,0.59,1.0,0.01,0.3,1.91
1773,Mario Party 3,N64,2001.0,,Nintendo  ,Hudson Soft  ,7.0,,0.72,0.16,1.01,0.02,1.91
1774,Paper Mario: The Thousand-Year Door,GC,2004.0,,Nintendo  ,Intelligent Systems  ,9.0,,1.48,0.25,0.46,0.06,2.25
1776,Star Wars Rogue Leader: Rogue Squadron II,GC,2001.0,,LucasArts  ,Factor 5  ,9.2,,1.03,0.75,0.03,0.09,1.9
1777,Tomb Raider (2013),X360,2013.0,,Square Enix  ,Crystal Dynamics  ,8.5,,0.86,0.87,0.01,0.16,1.9
1778,Dissidia: Final Fantasy,PSP,2009.0,,Square Enix  ,Square Enix  ,8.1,10.0,0.51,0.51,0.91,0.31,2.24
1779,Dragon Quest Monsters: Joker,DS,2007.0,,Square Enix  ,TOSE Software  ,7.6,,0.23,0.03,1.49,0.02,1.77
1781,Monster Hunter Tri,Wii,2010.0,,Capcom  ,Capcom Production Studio 1  ,8.1,10.0,0.65,0.41,1.05,0.11,2.23
1784,Octopath Traveler,NS,2018.0,,Nintendo  ,Square Enix  ,8.1,8.7,0.49,0.23,0.23,0.07,1.02
1785,Parasite Eve,PS,1998.0,,Square EA  ,SquareSoft  ,7.9,,0.94,0.07,1.05,0.04,2.1
1788,Batman: Arkham Origins,X360,2013.0,,Warner Bros. Interactive Entertainment  ,Warner Bros. Interactive Entertainment  ,,,1.15,0.58,0.0,0.17,1.9
1789,Until Dawn,PS4,2015.0,,Sony Computer Entertainment  ,Supermassive Games Ltd.  ,,,0.62,0.92,0.06,0.3,1.9
1790,Monopoly,Wii,2008.0,,Electronic Arts  ,EA Bright Light  ,,,0.86,0.83,0.0,0.2,1.89
1791,Minecraft,NS,2018.0,,Mojang  ,4J Studios  ,9.2,,0.69,0.56,0.52,0.12,1.89
1792,Ratchet & Clank Future: A Crack in Time,PS3,2009.0,,Sony Computer Entertainment  ,Insomniac Games  ,8.7,9.0,1.05,0.55,0.03,0.26,1.89
1793,Madden NFL 09,PS3,2008.0,,EA Sports  ,EA Tiburon  ,8.6,,1.56,0.15,0.0,0.18,1.89
1796,Tetris DX,GBC,1998.0,,Nintendo  ,Nintendo R&D1  ,,,1.06,0.6,0.2,0.07,1.93
1799,Hot Shots Golf 2,PS,2000.0,,Sony Computer Entertainment  ,Clap Hanz  ,,,0.25,0.12,1.48,0.03,1.88
1800,Medal of Honor: European Assault (All Region sales),PS2,2005.0,,Electronic Arts  ,EA Los Angeles  ,,,0.89,0.69,0.09,0.21,1.88
1801,WCW Nitro,PS,1998.0,,THQ  ,Inland Productions  ,,,1.42,0.36,0.03,0.07,1.88
1804,FIFA 2000,PS,1999.0,,EA Sports  ,EA Canada  ,8.8,,0.22,1.47,0.04,0.14,1.87
1805,inFAMOUS 2,PS3,2011.0,,Sony Computer Entertainment  ,Sucker Punch Productions  ,8.1,,1.05,0.48,0.08,0.26,1.87
1806,Star Wars: The Force Unleashed,Wii,2008.0,,LucasArts  ,Krome Studios  ,6.8,7.4,1.11,0.56,0.0,0.19,1.86
1807,The Legend of Zelda: Oracle of Seasons,GBC,2001.0,,Nintendo  ,Flagship  ,9.3,,0.87,0.52,0.41,0.06,1.86
1810,Shrek 2,PS2,2004.0,,Activision  ,"Luxoflux, Inc.  ",6.9,,1.12,0.69,0.03,0.02,1.86
1812,The Legend of Dragoon,PS,2000.0,,Sony Computer Entertainment  ,SCEI  ,7.8,6.5,0.94,0.44,0.39,0.1,1.86
1813,Turok 2: Seeds of Evil,N64,1998.0,,Acclaim Entertainment  ,Iguana Entertainment  ,9.0,,1.37,0.41,0.04,0.04,1.86
1814,The Evil Within,PS4,2014.0,,Bethesda Softworks  ,Tango Gameworks  ,7.7,,0.56,0.9,0.11,0.28,1.86
1816,Max Payne 3,PS3,2012.0,,Rockstar Games  ,Rockstar Vancouver  ,,,0.59,0.93,0.06,0.27,1.86
1820,Kirby's Epic Yarn,Wii,2010.0,,Nintendo  ,Good-Feel  ,8.7,,1.42,0.09,0.45,0.13,2.09
1821,Pinball,NES,1985.0,,Nintendo  ,Nintendo  ,,,0.8,0.19,0.83,0.03,1.85
1825,Forza Horizon 4,XOne,2018.0,,Microsoft Studios  ,Playground Games  ,9.2,,0.74,0.95,0.01,0.15,1.84
1829,Watch Dogs,PS3,2014.0,,Ubisoft  ,Ubisoft Montreal  ,,,0.56,0.89,0.1,0.28,1.83
1831,Jet Moto,PS,1996.0,,Sony Computer Entertainment  ,SingleTrac  ,,,1.33,0.4,0.03,0.07,1.83
1832,"Hey You, Pikachu!",N64,2000.0,,Nintendo  ,Ambrella  ,,,0.83,0.06,0.93,0.0,1.83
1833,Secret of Mana,SNES,1993.0,,Square  ,SquareSoft  ,9.1,,0.25,0.07,1.49,0.02,1.83
1838,Donkey Kong Country,GBA,2003.0,,Nintendo  ,Rare Ltd.  ,7.5,,1.2,0.48,0.29,0.07,2.04
1839,Sonic & Knuckles,GEN,1994.0,,Sega  ,Sonic Team  ,,,1.24,0.43,0.03,0.12,1.82
1840,Star Fox Adventures,GC,2002.0,,Nintendo  ,Rare Ltd.  ,8.1,,0.96,0.53,0.3,0.09,1.87
1842,BioShock Infinite,PS3,2013.0,,2K Games  ,Irrational Games  ,9.5,,0.74,0.74,0.04,0.3,1.82
1845,The Orange Box,X360,2007.0,,Electronic Arts  ,Valve Software  ,9.7,,1.09,0.53,0.02,0.17,1.82
1847,Crazy Taxi,DC,2000.0,,Sega  ,Hitmaker  ,9.3,,1.1,0.51,0.12,0.08,1.81
1848,NBA 2K11,PS3,2010.0,,2K Sports  ,Visual Concepts  ,,,1.41,0.21,0.03,0.16,1.81
1852,Ace Combat 5: The Unsung War,PS2,2004.0,,Namco  ,Namco  ,,,0.88,0.34,0.32,0.18,1.71
1853,Sonic Advance 2,GBA,2003.0,,Sega  ,Dimps Corporation / Sonic Team  ,,,0.93,0.59,0.21,0.07,1.8
1854,Dead Rising,X360,2006.0,,Capcom  ,Capcom Production Studio 1  ,8.4,,1.16,0.65,0.08,0.2,2.09
1857,Guitar Hero,PS2,2005.0,,RedOctane  ,Harmonix Music Systems  ,8.0,,1.67,0.61,0.03,0.07,2.38
1858,Kingdom Hearts HD I.5 + II.5 ReMIX,PS4,2017.0,,Square Enix  ,Square Enix  ,,,0.75,0.51,0.23,0.26,1.75
1860,Namco Museum DS,DS,2007.0,,Namco Bandai  ,M2  ,,,1.14,0.01,0.06,0.1,1.31
1861,Sonic Colors,Wii,2010.0,,Sega  ,Sonic Team  ,7.7,,0.95,0.61,0.01,0.16,1.73
1865,Kirby's Return to Dreamland,Wii,2011.0,,Nintendo  ,HAL Laboratory  ,7.6,,0.58,0.21,0.79,0.07,1.66
1866,New Play Control! Mario Power Tennis,Wii,2009.0,,Nintendo  ,Camelot Software Planning  ,6.6,,0.35,0.69,0.28,0.14,1.46
1867,Samurai Warriors,PS2,2004.0,,KOEI  ,Omega Force  ,,,0.22,0.05,1.06,0.02,1.35
1868,The Lion King,SNES,1994.0,,Virgin Interactive  ,Westwood Studios  ,,,1.26,0.39,0.08,0.06,1.79
1870,The Crew,PS4,2014.0,,Ubisoft  ,Ubisoft Reflections  ,,,0.44,1.04,0.03,0.27,1.79
1873,Wii Party U,WiiU,2013.0,,Nintendo  ,"Nd Cube Co., Ltd.  ",6.6,,0.3,0.66,0.84,0.08,1.88
1874,The Getaway: Black Monday,PS2,2005.0,,Sony Computer Entertainment  ,Team Soho  ,,,0.39,1.01,0.02,0.36,1.78
1879,Dynasty Warriors 3,PS2,2001.0,,KOEI  ,Omega Force  ,,,0.53,0.16,1.07,0.1,1.87
1881,Kirby 64: The Crystal Shards,N64,2000.0,,Nintendo  ,HAL Laboratory  ,7.9,,0.63,0.06,1.03,0.04,1.77
1883,UFC 2009 Undisputed,PS3,2009.0,,THQ  ,Yuke's Osaka  ,8.4,,1.07,0.45,0.01,0.24,1.76
1884,Dragon's Dogma,PS3,2012.0,,Capcom  ,Capcom  ,,,0.41,0.48,0.72,0.16,1.76
