id;broadcaster_id
1;9066496
1;136243233
1;77138960
1;534030421
1;81522133
1;498375403
1;98194178
1;113657212
1;114769129
1;25358179
1;238901397
1;650780658
1;619227695
1;638077636
1;22916592
1;543943048
1;637816301
1;504114157
1;208979758
1;476496062
1;633813204
1;478283221
1;118002993
1;410052449
1;240635519
1;490324362
1;133923954
1;199087774
1;98204850
1;409448136
1;648878796
1;538975056
1;474924404
1;494063578
1;41676276
1;497692465
1;560864865
1;219257651
1;85374204
1;130873765
1;608477201
1;674581904
1;194436322
1;418091852
1;501688042
1;47891965
1;130726415
1;435816584
1;75900521
1;83332952
1;75836932
1;551104663
1;30378845
1;104407880
1;134516627
1;538834736
1;134590901
1;115290121
1;133100154
1;30734610
1;488031982
1;121678680
1;29643948
1;130937425
1;477997430
1;481668681
1;73836935
1;157510303
1;108758615
1;121886768
1;604791077
1;83643226
1;254192027
1;190824624
1;240546321
1;26430850
1;167466839
1;455807159
1;182540803
1;76852199
1;498328680
1;598773933
1;188366548
1;499469127
1;546970558
1;99510909
1;650784273
1;457474446
1;147214133
1;82173015
1;67946152
1;91318613
1;557291874
1;172354370
1;410476174
1;127917635
1;74364989
1;155167879
1;551167873
1;608188792
1;456637466
1;562270071
1;572818152
1;461977365
1;130602264
1;158198546
1;115400814
1;131302635
1;432498637
1;548806889
1;195761869
1;119938014
1;247661782
1;59730200
1;32841511
1;643189910
1;138791015
1;113607013
1;223155881
1;271083389
1;541051772
1;111902993
1;107408875
1;195077583
1;160563661
1;146142538
1;494198672
1;638501090
1;117899130
1;79043049
1;417461748
1;232977720
1;136489679
1;635365650
1;480096984
1;189418687
1;409806029
1;114122033
1;523108130
1;638147703
1;426643999
1;79194564
1;30491917
1;185728815
1;26588335
1;477932254
1;674747066
1;108417556
1;28344564
1;26029516
1;154425624
1;52959392
1;37771090
1;7010591
1;86879544
1;28564152
1;678834366
1;45453222
1;77878104
1;138883340
1;460865820
1;415731592
1;648713158
1;73074545
1;102777268
1;141447771
1;21991090
1;106320377
1;146841932
1;79166180
1;52386530
1;90027505
1;434713311
1;172446105
1;99609653
1;67207391
1;577059240
1;66240723
1;36976030
1;87941688
1;589012292
1;44950219
1;91172864
1;483977218
1;80936502
1;409738933
1;143022099
1;536223478
1;36849409
1;600667776
1;74025098
1;86770503
1;566119007
1;642098687
1;434995676
1;451053275
1;70464740
1;415673321
1;53410880
1;644224226
1;44366627
1;272930444
1;407681725
1;630000706
1;470258641
1;183939100
1;138472998
1;43746567
1;493537937
1;587499173
1;523387010
1;425824149
1;514461746
1;267168363
1;134484855
1;93926630
1;64304645
1;74897323
1;32224172
1;224301864
1;169203340
1;620028889
1;29394554
1;89638403
1;89852279
1;118751342
1;598053373
1;118156462
1;468995124
1;15487436
1;662716094
1;49481359
1;63452921
1;81763618
1;158277919
1;427792793
1;82994090
1;409355205
1;641785620
1;156899893
1;144505358
1;144991053
1;42736923
1;651037471
1;117385099
1;79642445
1;27427227
1;63096750
1;87307992
1;138143929
1;135989667
1;161982841
1;179417919
1;267282340
1;175175907
1;38871579
1;137404969
1;265706238
1;26903378
1;159301312
1;117000394
1;111045473
1;169703688
1;253069402
1;26819117
1;478701870
1;119305852
1;105351856
1;39566992
1;37530941
1;150664679
1;185398814
1;156710981
1;103917636
1;140851952
1;153038708
1;116460040
1;69239046
1;169927748
1;546747320
1;140271538
1;27273690
1;109198926
1;103498719
1;83435622
1;448747665
1;75863825
1;27627583
1;21069037
1;27115917
1;19190208
1;138117244
1;247788421
1;137724490
1;158791947
1;31582795
1;132520584
1;137624354
1;207455072
1;80093668
1;109560801
1;42297683
1;136751316
1;126578508
1;133993495
1;135052907
1;140577538
1;150716625
1;132256521
1;169705268
1;499421863
1;137533199
1;150815234
1;46181701
1;130352086
1;511706387
1;181738629
1;476325253
1;45502347
1;126663186
1;40310374
1;475745876
1;456165300
1;92308295
1;41041797
1;75082230
1;497371923
1;405179646
1;194220452
1;524945971
1;131907857
1;639291717
1;126911814
1;127736213
1;96188964
1;187017621
1;188605101
1;80973476
1;202449624
1;48614186
1;57174522
1;81076888
1;98595590
1;80035732
1;187808564
1;216199673
1;155703254
1;146375905
1;38315482
1;37428068
1;452656303
